region,address,"aux addres",latitude,longitude,type,power,service,id
SDMC,"Meharchand Market, SDMC parking, New Delhi","Electric Vehicle Charger, Meharchand Market, SDMC parking, New Delhi",28.586018,77.227942,DC-001,15,"Self Service",104
"NOIDA AUTHORITY","road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313","Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313",28.548194,77.322194,DC-001,15,"Self Service",105
"NOIDA AUTHORITY","Between kirti mann plaza and NMC hospital Sector 30 Noida","Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida",28.572798,77.340531,DC-001,15,"Self Service",106
"NOIDA AUTHORITY","Sector 142, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 142, Noida, Uttar Pradesh, 201305",28.626582,77.375216,DC-001,15,"Self Service",107
SDMC,"EESL H-Block, Sarita Vihar, SDMC parking New Delhi","Electric Vehicle Charger, EESL H-Block, Sarita Vihar, SDMC parking New Delhi",28.534966,77.291393,DC-001,15,"Self Service",108
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",109
SDMC,"EESL, Plot 81-85, Nehru Place, SDMC Parking, New Delhi","Electric Vehicle Charger, EESL, Plot 81-85, Nehru Place, SDMC Parking, New Delhi",28.548871,77.254106,DC-001,15,"Self Service",110
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",111
NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.590711,77.224284,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",112
NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.590711,77.224284,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",113
SDMC,"RK Puram Sector 12 Market","Electric Vehicle Charger, RK Puram Sector 12 Market",28.574303,77.176555,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",114
CMRL,"Saidapet Metro station","Electric Vehicle Charger, Saidapet Metro station",13.023720,80.228209,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",115
CMRL,"Saidapet Metro station","Electric Vehicle Charger, Saidapet Metro station",13.023720,80.228209,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",116
CMRL,"Tirumangalam Metro station, Chennai","Electric Vehicle Charger, Tirumangalam Metro station, Chennai",12.991845,80.141801,DC-001,15,"Self Service",117
CMRL,"Saidapet Metro station","Electric Vehicle Charger, Saidapet Metro station",13.023720,80.228209,DC-001,15,"Self Service",118
NDMC,"DLF Building, Sansad Marg, Janpath, Connaught Place, New Delhi 110001.","Electric Vehicle Charger, DLF Building, Sansad Marg, Janpath, Connaught Place, New Delhi 110001.",28.621239,77.218305,DC-001,15,"Self Service",119
NDMC,"Talkatora Stadium,Â President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium,Â President's Estate, New Delhi110004",28.625294,77.195234,DC-001,15,"Self Service",120
NRANVP,"NRANVP, PARYAVAS BHAWAN, NORTH BLOCK, SECTOR 19, NAYA RAYPUR MARG, ATAL NAGAR RAIPUR","Electric Vehicle Charger, NRANVP, PARYAVAS BHAWAN, NORTH BLOCK, SECTOR 19, NAYA RAYPUR MARG, ATAL NAGAR RAIPUR",21.164227,81.788659,DC-001,15,"Self Service",121
NKDA,"ECO Park,Gate No1,West Bengal:700156","Electric Vehicle Charger, ECO Park,Gate No1,West Bengal:700156",22.583356,88.459342,AC-001,10,"Self Service",122
NRANVP,"CBDNAVA RAIPUR MARG, SECTOR 21,KAYABANDHA, ATAL NAGAR RAIPUR DIST. 492101 Chhatisgarh","Electric Vehicle Charger, CBDNAVA RAIPUR MARG, SECTOR 21,KAYABANDHA, ATAL NAGAR RAIPUR DIST. 492101 Chhatisgarh",21.170058,81.771447,DC-001,15,"Self Service",123
NKDA,"Shapoorji complex,New Town,kolkata,West Bengal:700135","Electric Vehicle Charger, Shapoorji complex,New Town,kolkata,West Bengal:700135",22.569180,88.509064,AC-001,10,"Self Service",124
"NOIDA AUTHORITY","Diagonally op. Sasta Sundar Hospital, sector- 58, Noida","Electric Vehicle Charger, Diagonally op. Sasta Sundar Hospital, sector- 58, Noida",28.606751,77.359719,DC-001,15,"Self Service",125
NKDA,"ECO Park,Gate No1,West Bengal:700156","Electric Vehicle Charger, ECO Park,Gate No1,West Bengal:700156",22.583356,88.459342,DC-001,15,"Self Service",126
"NOIDA AUTHORITY","In front of affinity salon, sector- 51, Noida","Electric Vehicle Charger, In front of affinity salon, sector- 51, Noida",28.577314,77.360954,DC-001,15,"Self Service",127
NKDA,"Shapoorji complex,New Town,kolkata,West Bengal:700135","Electric Vehicle Charger, Shapoorji complex,New Town,kolkata,West Bengal:700135",22.569180,88.509064,DC-001,15,"Self Service",128
"NOIDA AUTHORITY","Side parking of HCL building, sector-8, Noida","Electric Vehicle Charger, Side parking of HCL building, sector-8, Noida",28.595164,77.328135,DC-001,15,"Self Service",129
ANERT,"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014","Electric Vehicle Charger, State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",8.491622,76.956247,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",130
"NOIDA AUTHORITY","Opp C-101 Jain air travels, sector-2, Noida","Electric Vehicle Charger, Opp C-101 Jain air travels, sector-2, Noida",28.584688,77.315930,DC-001,15,"Self Service",131
"NOIDA AUTHORITY","H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301","Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301",28.626582,77.375216,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",132
ANERT,"Shanghumukham beach, thiruvananthapuram,Kerala- 605007","Electric Vehicle Charger, Shanghumukham beach, thiruvananthapuram,Kerala- 605007",8.481052,76.912622,DC-001,15,"Self Service",133
ANERT,"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031","Electric Vehicle Charger, KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031",9.976921,76.277781,DC-001,15,"Self Service",134
"NOIDA AUTHORITY","H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301","Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301",28.626582,77.375216,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",135
"NOIDA AUTHORITY","Electronic City , Metro Station parking gate no.2, Noida - 201301","Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida - 201301",28.627941,77.374930,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",136
NDMC,"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003","Electric Vehicle Charger, Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003",28.588303,77.217697,DC-001,15,"Self Service",137
ANERT,"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014","Electric Vehicle Charger, State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",8.491622,76.956247,DC-001,15,"Self Service",138
NDMC,"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","Electric Vehicle Charger, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",28.582654,77.220087,DC-001,15,"Self Service",139
SDMC,"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7","Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7",28.557662,77.157684,DC-001,15,"Self Service",140
"NOIDA AUTHORITY","Electronic City , Metro Station parking gate no.2, Noida - 201301","Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida - 201301",28.627941,77.374930,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",141
"NOIDA AUTHORITY","Between kirti mann plaza and NMC hospital Sector 30 Noida","Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida",28.572798,77.340531,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",142
"NOIDA AUTHORITY","Between kirti mann plaza and NMC hospital Sector 30 Noida","Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida",28.572798,77.340531,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",143
NDMC,"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","Electric Vehicle Charger, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",28.584485,77.220316,DC-001,15,"Self Service",144
"NOIDA AUTHORITY","Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India","Electric Vehicle Charger, Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India",28.582120,77.326699,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",145
"NOIDA AUTHORITY","Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India","Electric Vehicle Charger, Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India",28.582120,77.326699,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",146
"NOIDA AUTHORITY","road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313","Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313",28.548194,77.322194,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",147
"NOIDA AUTHORITY","road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313","Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313",28.548194,77.322194,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",148
"NOIDA AUTHORITY","Sector 142, Near Advan Chowk Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 142, Near Advan Chowk Noida, Uttar Pradesh, 201305",28.499953,77.414254,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",149
"NOIDA AUTHORITY","Sector 142, Near Advan Chowk Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 142, Near Advan Chowk Noida, Uttar Pradesh, 201305",28.499953,77.414254,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",150
"NOIDA AUTHORITY","Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305",28.597100,77.364900,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",151
NDMC,"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021","Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",28.602356,77.186618,DC-001,15,"Self Service",152
"NOIDA AUTHORITY","Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305",28.597100,77.364900,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",153
NDMC,"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001",28.633686,77.218140,DC-001,15,"Self Service",154
"NOIDA AUTHORITY","Sector 50 Central Market, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 50 Central Market, Noida, Uttar Pradesh, 201305",28.571997,77.369368,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",155
"NOIDA AUTHORITY","Sector 50 , Central Market, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 50 , Central Market, Noida, Uttar Pradesh, 201305",28.529098,77.403381,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",156
"NOIDA AUTHORITY","Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301","Electric Vehicle Charger, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301",28.572150,77.337546,AC-001,10,"Self Service",157
NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",28.630448,77.225558,DC-001,15,"Self Service",158
NDMC,"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021","Electric Vehicle Charger, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021",28.583883,77.163408,DC-001,15,"Self Service",159
"NOIDA AUTHORITY","Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301","Electric Vehicle Charger, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301",28.572150,77.337546,AC-001,10,"Self Service",160
NDMC,"Khan Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Khan Market, Rabindra Nagar, New Delhi- 110003",28.600333,77.226889,DC-001,15,"Self Service",161
"NOIDA AUTHORITY","Between kirti mann plaza and NMC hospital Sector 30 Noida","Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida",28.572798,77.340531,AC-001,10,"Self Service",162
"NOIDA AUTHORITY","Between kirti mann plaza and NMC hospital Sector 30 Noida","Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida",28.572798,77.340531,AC-001,10,"Self Service",163
"NOIDA AUTHORITY","Sector 50 Central Market, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 50 Central Market, Noida, Uttar Pradesh, 201305",28.571997,77.369368,AC-001,10,"Self Service",164
"NOIDA AUTHORITY","Sector 50 Central Market, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 50 Central Market, Noida, Uttar Pradesh, 201305",28.571997,77.369368,AC-001,10,"Self Service",165
"NOIDA AUTHORITY","Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","Electric Vehicle Charger, Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India",28.626582,77.375216,AC-001,10,"Self Service",166
SDMC,"c/o SDMCHauz Khas VillageNew Delhi,Delhi - 110016","Electric Vehicle Charger, c/o SDMCHauz Khas VillageNew Delhi,Delhi - 110016",28.547170,77.200275,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",167
NDMC,"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001",28.633675,77.223493,DC-001,15,"Self Service",168
NDMC,"Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001",28.632584,77.222979,DC-001,15,"Self Service",169
NDMC,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023","Electric Vehicle Charger, NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",28.577232,77.197239,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",170
NDMC,"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001",28.631729,77.222108,DC-001,15,"Self Service",171
NDMC,"Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","Electric Vehicle Charger, Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",28.602443,77.217889,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",172
"NOIDA AUTHORITY","Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 61 Opposite Shopprix Mall , Noida, Uttar Pradesh, 201305",28.597100,77.364900,DC-001,15,"Self Service",173
"NOIDA AUTHORITY","Sector 50 , Central Market, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 50 , Central Market, Noida, Uttar Pradesh, 201305",28.529098,77.403381,DC-001,15,"Self Service",174
CMRL,"Chennai Egmore metro, Chennai (CMRL)","Electric Vehicle Charger, Chennai Egmore metro, Chennai (CMRL)",13.073052,80.193806,DC-001,15,"Self Service",175
CMRL,"Chennai Metro Alandur station Car parking area, Alandur, Chennai 600016","Electric Vehicle Charger, Chennai Metro Alandur station Car parking area, Alandur, Chennai 600016",13.004216,80.201548,DC-001,15,"Self Service",176
NDMC,"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001","Electric Vehicle Charger, Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001",28.633841,77.207444,DC-001,15,"Self Service",177
SDMC,"Charger 6, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048","Electric Vehicle Charger, Charger 6, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048",28.573052,77.173534,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",178
SDMC,"EV Parking Slot 3-5, SDMC Parking, N Block Market, Greater Kailash - 1 , 110048","Electric Vehicle Charger, EV Parking Slot 3-5, SDMC Parking, N Block Market, Greater Kailash - 1 , 110048",28.556640,77.232139,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",179
SDMC,"EV Parking Slot 5, SDMC Parking, N Block Market, Greater Kailash - 1 , 110048","Electric Vehicle Charger, EV Parking Slot 5, SDMC Parking, N Block Market, Greater Kailash - 1 , 110048",28.556640,77.232139,DC-001,15,"Self Service",180
SDMC,"EV Parking Slot 2, SDMC Parking, Hauz Khas Village, Hauz Khas - 1 , 110016","Electric Vehicle Charger, EV Parking Slot 2, SDMC Parking, Hauz Khas Village, Hauz Khas - 1 , 110016",28.573052,77.173534,DC-001,15,"Self Service",181
NDMC,"NDMC Parking, Near Ferns n Petals, Near BPCL Petrol Pump, C Block RR5, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, NDMC Parking, Near Ferns n Petals, Near BPCL Petrol Pump, C Block RR5, Connaught Place, New Delhi- 110001",28.628163,77.215515,DC-001,15,"Self Service",182
SDMC,"Charger 2, SDMC Parking, Hauz Khas Village, New Delhi","Electric Vehicle Charger, Charger 2, SDMC Parking, Hauz Khas Village, New Delhi",28.553693,77.199250,DC-001,15,"Self Service",183
NDMC,"Back of Hotel Claridges Near NDMC Power Sub Station, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","Electric Vehicle Charger, Back of Hotel Claridges Near NDMC Power Sub Station, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",28.602443,77.217889,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",184
NDMC,"NDMC Parking, Near Croma, D Block RR5, Opposite BPCL Petrol Pump, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, NDMC Parking, Near Croma, D Block RR5, Opposite BPCL Petrol Pump, Connaught Place, New Delhi- 110001",28.628163,77.215515,DC-001,15,"Self Service",185
NDMC,"Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001",28.635011,77.219611,DC-001,15,"Self Service",186
"NOIDA AUTHORITY","Charger 1, Sector 2: State Bank of lndia, Noida - UP","Electric Vehicle Charger, Charger 1, Sector 2: State Bank of lndia, Noida - UP",28.587504,77.312690,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",187
NDMC,"Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001",28.633883,77.221542,DC-001,15,"Self Service",188
NDMC,"Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001",28.631896,77.221582,DC-001,15,"Self Service",189
NDMC,"Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001","Electric Vehicle Charger, Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001",28.624252,77.212582,DC-001,15,"Self Service",190
NDMC,"Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023","Electric Vehicle Charger, Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023",28.577232,77.197239,DC-001,15,"Self Service",191
NDMC,"Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001",28.633798,77.217455,DC-001,15,"Self Service",192
NDMC,"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003","Electric Vehicle Charger, Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003",28.583805,77.221823,DC-001,15,"Self Service",193
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,DC-001,15,"Self Service",194
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,DC-001,15,"Self Service",195
NDMC,"FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001","Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001",28.626869,77.231853,DC-001,15,"Self Service",196
NDMC,"Charak Palika Hospital,Â C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021","Electric Vehicle Charger, Charak Palika Hospital,Â C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021",28.585288,77.177094,DC-001,15,"Self Service",197
NDMC,"PSOI Club, Chanakyapuri, New Delhi 110021","Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021",28.586617,77.193640,DC-001,15,"Self Service",198
NDMC,"PSOI Club, Chanakyapuri, New Delhi 110021","Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021",28.586617,77.193640,DC-001,15,"Self Service",199
NDMC,"Near Snow White,Â Block D, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Near Snow White,Â Block D, Inner Circle, Connaught Place, New Delhi 110001",28.633631,77.220579,DC-001,15,"Self Service",200
NDMC,"Outside Van Heusen Showroom,Â Block C, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Outside Van Heusen Showroom,Â Block C, Inner Circle, Connaught Place, New Delhi 110001",28.632990,77.217981,DC-001,15,"Self Service",201
NDMC,"16-B, Woodland Showroom,Â Block B, Connaught Place, New Delhi 110001","Electric Vehicle Charger, 16-B, Woodland Showroom,Â Block B, Connaught Place, New Delhi 110001",28.634072,77.218780,DC-001,15,"Self Service",202
